x,y,taxon,mean,sd
-67000,1494000,Cedar/juniper,NA,NA
-59000,1494000,Cedar/juniper,NA,NA
-51000,1494000,Cedar/juniper,NA,NA
-43000,1494000,Cedar/juniper,NA,NA
-35000,1494000,Cedar/juniper,NA,NA
-27000,1494000,Cedar/juniper,NA,NA
-19000,1494000,Cedar/juniper,NA,NA
-11000,1494000,Cedar/juniper,NA,NA
-3000,1494000,Cedar/juniper,NA,NA
5000,1494000,Cedar/juniper,NA,NA
13000,1494000,Cedar/juniper,NA,NA
21000,1494000,Cedar/juniper,NA,NA
29000,1494000,Cedar/juniper,NA,NA
37000,1494000,Cedar/juniper,NA,NA
45000,1494000,Cedar/juniper,NA,NA
53000,1494000,Cedar/juniper,NA,NA
61000,1494000,Cedar/juniper,NA,NA
69000,1494000,Cedar/juniper,NA,NA
77000,1494000,Cedar/juniper,NA,NA
85000,1494000,Cedar/juniper,NA,NA
93000,1494000,Cedar/juniper,NA,NA
101000,1494000,Cedar/juniper,NA,NA
109000,1494000,Cedar/juniper,NA,NA
117000,1494000,Cedar/juniper,NA,NA
125000,1494000,Cedar/juniper,NA,NA
133000,1494000,Cedar/juniper,NA,NA
141000,1494000,Cedar/juniper,NA,NA
149000,1494000,Cedar/juniper,NA,NA
157000,1494000,Cedar/juniper,NA,NA
165000,1494000,Cedar/juniper,NA,NA
173000,1494000,Cedar/juniper,NA,NA
181000,1494000,Cedar/juniper,NA,NA
189000,1494000,Cedar/juniper,NA,NA
197000,1494000,Cedar/juniper,NA,NA
205000,1494000,Cedar/juniper,NA,NA
213000,1494000,Cedar/juniper,NA,NA
221000,1494000,Cedar/juniper,NA,NA
229000,1494000,Cedar/juniper,NA,NA
237000,1494000,Cedar/juniper,NA,NA
245000,1494000,Cedar/juniper,NA,NA
253000,1494000,Cedar/juniper,NA,NA
261000,1494000,Cedar/juniper,NA,NA
269000,1494000,Cedar/juniper,NA,NA
277000,1494000,Cedar/juniper,NA,NA
285000,1494000,Cedar/juniper,NA,NA
293000,1494000,Cedar/juniper,NA,NA
301000,1494000,Cedar/juniper,NA,NA
309000,1494000,Cedar/juniper,NA,NA
317000,1494000,Cedar/juniper,NA,NA
325000,1494000,Cedar/juniper,NA,NA
333000,1494000,Cedar/juniper,NA,NA
341000,1494000,Cedar/juniper,NA,NA
349000,1494000,Cedar/juniper,NA,NA
357000,1494000,Cedar/juniper,NA,NA
365000,1494000,Cedar/juniper,NA,NA
373000,1494000,Cedar/juniper,NA,NA
381000,1494000,Cedar/juniper,NA,NA
389000,1494000,Cedar/juniper,NA,NA
397000,1494000,Cedar/juniper,NA,NA
405000,1494000,Cedar/juniper,NA,NA
413000,1494000,Cedar/juniper,NA,NA
421000,1494000,Cedar/juniper,NA,NA
429000,1494000,Cedar/juniper,NA,NA
437000,1494000,Cedar/juniper,NA,NA
445000,1494000,Cedar/juniper,NA,NA
453000,1494000,Cedar/juniper,NA,NA
461000,1494000,Cedar/juniper,NA,NA
469000,1494000,Cedar/juniper,NA,NA
477000,1494000,Cedar/juniper,NA,NA
485000,1494000,Cedar/juniper,NA,NA
493000,1494000,Cedar/juniper,NA,NA
501000,1494000,Cedar/juniper,NA,NA
509000,1494000,Cedar/juniper,NA,NA
517000,1494000,Cedar/juniper,NA,NA
525000,1494000,Cedar/juniper,NA,NA
533000,1494000,Cedar/juniper,NA,NA
541000,1494000,Cedar/juniper,NA,NA
549000,1494000,Cedar/juniper,NA,NA
557000,1494000,Cedar/juniper,NA,NA
565000,1494000,Cedar/juniper,NA,NA
573000,1494000,Cedar/juniper,NA,NA
581000,1494000,Cedar/juniper,NA,NA
589000,1494000,Cedar/juniper,NA,NA
597000,1494000,Cedar/juniper,NA,NA
605000,1494000,Cedar/juniper,NA,NA
613000,1494000,Cedar/juniper,NA,NA
621000,1494000,Cedar/juniper,NA,NA
629000,1494000,Cedar/juniper,NA,NA
637000,1494000,Cedar/juniper,NA,NA
645000,1494000,Cedar/juniper,NA,NA
653000,1494000,Cedar/juniper,NA,NA
661000,1494000,Cedar/juniper,NA,NA
669000,1494000,Cedar/juniper,NA,NA
677000,1494000,Cedar/juniper,NA,NA
685000,1494000,Cedar/juniper,NA,NA
693000,1494000,Cedar/juniper,NA,NA
701000,1494000,Cedar/juniper,NA,NA
709000,1494000,Cedar/juniper,NA,NA
717000,1494000,Cedar/juniper,NA,NA
725000,1494000,Cedar/juniper,NA,NA
733000,1494000,Cedar/juniper,NA,NA
741000,1494000,Cedar/juniper,NA,NA
749000,1494000,Cedar/juniper,NA,NA
757000,1494000,Cedar/juniper,NA,NA
765000,1494000,Cedar/juniper,NA,NA
773000,1494000,Cedar/juniper,NA,NA
781000,1494000,Cedar/juniper,NA,NA
789000,1494000,Cedar/juniper,NA,NA
797000,1494000,Cedar/juniper,NA,NA
805000,1494000,Cedar/juniper,NA,NA
813000,1494000,Cedar/juniper,NA,NA
821000,1494000,Cedar/juniper,NA,NA
829000,1494000,Cedar/juniper,NA,NA
837000,1494000,Cedar/juniper,NA,NA
845000,1494000,Cedar/juniper,NA,NA
853000,1494000,Cedar/juniper,NA,NA
861000,1494000,Cedar/juniper,NA,NA
869000,1494000,Cedar/juniper,NA,NA
877000,1494000,Cedar/juniper,NA,NA
885000,1494000,Cedar/juniper,NA,NA
893000,1494000,Cedar/juniper,NA,NA
901000,1494000,Cedar/juniper,NA,NA
909000,1494000,Cedar/juniper,NA,NA
917000,1494000,Cedar/juniper,NA,NA
925000,1494000,Cedar/juniper,NA,NA
933000,1494000,Cedar/juniper,NA,NA
941000,1494000,Cedar/juniper,NA,NA
949000,1494000,Cedar/juniper,NA,NA
957000,1494000,Cedar/juniper,NA,NA
965000,1494000,Cedar/juniper,NA,NA
973000,1494000,Cedar/juniper,NA,NA
981000,1494000,Cedar/juniper,NA,NA
989000,1494000,Cedar/juniper,NA,NA
997000,1494000,Cedar/juniper,NA,NA
1005000,1494000,Cedar/juniper,NA,NA
1013000,1494000,Cedar/juniper,NA,NA
1021000,1494000,Cedar/juniper,NA,NA
1029000,1494000,Cedar/juniper,NA,NA
1037000,1494000,Cedar/juniper,NA,NA
1045000,1494000,Cedar/juniper,NA,NA
1053000,1494000,Cedar/juniper,NA,NA
1061000,1494000,Cedar/juniper,NA,NA
1069000,1494000,Cedar/juniper,NA,NA
1077000,1494000,Cedar/juniper,NA,NA
1085000,1494000,Cedar/juniper,NA,NA
1093000,1494000,Cedar/juniper,NA,NA
1101000,1494000,Cedar/juniper,NA,NA
1109000,1494000,Cedar/juniper,NA,NA
1117000,1494000,Cedar/juniper,NA,NA
1125000,1494000,Cedar/juniper,NA,NA
1133000,1494000,Cedar/juniper,NA,NA
1141000,1494000,Cedar/juniper,NA,NA
1149000,1494000,Cedar/juniper,NA,NA
1157000,1494000,Cedar/juniper,NA,NA
1165000,1494000,Cedar/juniper,NA,NA
1173000,1494000,Cedar/juniper,NA,NA
1181000,1494000,Cedar/juniper,NA,NA
1189000,1494000,Cedar/juniper,NA,NA
1197000,1494000,Cedar/juniper,NA,NA
1205000,1494000,Cedar/juniper,NA,NA
1213000,1494000,Cedar/juniper,NA,NA
1221000,1494000,Cedar/juniper,NA,NA
1229000,1494000,Cedar/juniper,NA,NA
1237000,1494000,Cedar/juniper,NA,NA
1245000,1494000,Cedar/juniper,NA,NA
1253000,1494000,Cedar/juniper,NA,NA
1261000,1494000,Cedar/juniper,NA,NA
1269000,1494000,Cedar/juniper,NA,NA
1277000,1494000,Cedar/juniper,NA,NA
1285000,1494000,Cedar/juniper,NA,NA
1293000,1494000,Cedar/juniper,NA,NA
1301000,1494000,Cedar/juniper,NA,NA
1309000,1494000,Cedar/juniper,NA,NA
1317000,1494000,Cedar/juniper,NA,NA
1325000,1494000,Cedar/juniper,NA,NA
1333000,1494000,Cedar/juniper,NA,NA
1341000,1494000,Cedar/juniper,NA,NA
1349000,1494000,Cedar/juniper,NA,NA
1357000,1494000,Cedar/juniper,NA,NA
1365000,1494000,Cedar/juniper,NA,NA
1373000,1494000,Cedar/juniper,NA,NA
1381000,1494000,Cedar/juniper,NA,NA
1389000,1494000,Cedar/juniper,NA,NA
1397000,1494000,Cedar/juniper,NA,NA
1405000,1494000,Cedar/juniper,NA,NA
1413000,1494000,Cedar/juniper,NA,NA
1421000,1494000,Cedar/juniper,NA,NA
1429000,1494000,Cedar/juniper,NA,NA
1437000,1494000,Cedar/juniper,NA,NA
1445000,1494000,Cedar/juniper,NA,NA
1453000,1494000,Cedar/juniper,NA,NA
1461000,1494000,Cedar/juniper,NA,NA
1469000,1494000,Cedar/juniper,NA,NA
1477000,1494000,Cedar/juniper,NA,NA
1485000,1494000,Cedar/juniper,NA,NA
1493000,1494000,Cedar/juniper,NA,NA
1501000,1494000,Cedar/juniper,NA,NA
1509000,1494000,Cedar/juniper,NA,NA
1517000,1494000,Cedar/juniper,NA,NA
1525000,1494000,Cedar/juniper,NA,NA
1533000,1494000,Cedar/juniper,NA,NA
1541000,1494000,Cedar/juniper,NA,NA
1549000,1494000,Cedar/juniper,NA,NA
1557000,1494000,Cedar/juniper,NA,NA
1565000,1494000,Cedar/juniper,NA,NA
1573000,1494000,Cedar/juniper,NA,NA
1581000,1494000,Cedar/juniper,NA,NA
1589000,1494000,Cedar/juniper,NA,NA
1597000,1494000,Cedar/juniper,NA,NA
1605000,1494000,Cedar/juniper,NA,NA
1613000,1494000,Cedar/juniper,NA,NA
1621000,1494000,Cedar/juniper,NA,NA
1629000,1494000,Cedar/juniper,NA,NA
1637000,1494000,Cedar/juniper,NA,NA
1645000,1494000,Cedar/juniper,NA,NA
1653000,1494000,Cedar/juniper,NA,NA
1661000,1494000,Cedar/juniper,NA,NA
1669000,1494000,Cedar/juniper,NA,NA
1677000,1494000,Cedar/juniper,NA,NA
1685000,1494000,Cedar/juniper,NA,NA
1693000,1494000,Cedar/juniper,NA,NA
1701000,1494000,Cedar/juniper,NA,NA
1709000,1494000,Cedar/juniper,NA,NA
1717000,1494000,Cedar/juniper,NA,NA
1725000,1494000,Cedar/juniper,NA,NA
1733000,1494000,Cedar/juniper,NA,NA
1741000,1494000,Cedar/juniper,NA,NA
1749000,1494000,Cedar/juniper,NA,NA
